"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"28","B5","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",26.97853661,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM2"
"29","B6","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.01452255,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,21,NA,"Y","N","SM2"
"30","B6","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.11784363,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM2"
"31","C4","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.44221687,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,27,NA,"Y","N","SM2"
"32","C4","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.44546127,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM2"
"33","C5","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.9317112,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM2"
"34","C5","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.5170517,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,32,NA,"Y","N","SM2"
"35","C6","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.77415657,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,27,NA,"Y","N","SM2"
"36","C6","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.72664261,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM2"
"37","A7","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.83218002,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM3"
"38","A7","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.40915298,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM3"
"39","A8","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.81277084,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,13,NA,"Y","N","SM3"
