"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"28","B5","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.74393463,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,24,NA,"Y","N","SM2"
"29","B6","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.38224602,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM2"
"30","B6","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",26.16111946,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,24,NA,"Y","N","SM2"
"31","C4","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.50306702,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM2"
"32","C4","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.40286636,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM2"
"33","C5","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.65466309,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,28,NA,"Y","N","SM2"
"34","C5","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.79067993,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM2"
"35","C6","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.72200584,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,27,NA,"Y","N","SM2"
"36","C6","ST5","Saithe","UNKNOWN","JOE","NFQ-MGB",32.13796616,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,30,NA,"Y","N","SM2"
"37","A7","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",18.05174446,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,13,NA,"Y","N","SM3"
"38","A7","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",19.19961548,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM3"
"39","A8","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.94053841,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,13,NA,"Y","N","SM3"
"40","A8","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",19.27182007,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,17,NA,"Y","N","SM3"
"41","A9","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.97410965,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,14,NA,"Y","N","SM3"
"42","A9","ST1","Saithe","UNKNOWN","JOE","NFQ-MGB",18.93100357,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,16,NA,"Y","N","SM3"
"43","B7","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.87819481,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,20,NA,"Y","N","SM3"
"44","B7","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.75834084,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,24,NA,"Y","N","SM3"
"45","B8","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",25.01927757,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM3"
"46","B8","ST3","Saithe","UNKNOWN","JOE","NFQ-MGB",25.65736008,24.80993271,6.014926434,NA,NA,NA,FALSE,0.011,TRUE,3,24,NA,"Y","N","SM3"
"47","B9","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.9090519,25.45713615,5.814662457,NA,NA,NA,TRUE,0.113817748,TRUE,3,22,NA,"Y","N","SM3"
